NAME,count,newRating
JavaScript,31551,17.23
Python,29350,16.03
C,18742,10.24
Rust,17113,9.35
C#,15681,8.56
Go,15500,8.47
C++,11896,6.5
Kotlin,9316,5.09
PHP,7325,4
Dart,6083,3.32
Java,5627,3.07
Swift,5071,2.77
Ruby,3907,2.13
Assembly,3046,1.66
R,1084,0.59
Perl,934,0.51
Objective-C,877,0.48
