NAME,count,newRating
JavaScript,37008,17.57
Python,34929,16.58
C,21216,10.07
C#,17999,8.54
Rust,15865,7.53
Go,15788,7.49
C++,15249,7.24
Kotlin,10691,5.07
PHP,8852,4.2
Java,7020,3.33
Dart,7018,3.33
Swift,6353,3.02
Ruby,4942,2.35
Assembly,3578,1.7
R,1586,0.75
Objective-C,1400,0.66
Perl,1175,0.56
